,index,LAG,CORRELATION,y,title
0,count,1.0,1.0,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
1,mean,3.0,0.1181404685680675,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
2,std,,,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
3,min,3.0,0.1181404685680675,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
4,25%,3.0,0.1181404685680675,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
5,50%,3.0,0.1181404685680675,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
6,75%,3.0,0.1181404685680675,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
7,max,3.0,0.1181404685680675,$R_{0}^{'}$,"$\Delta_{H}^{''}$ leads $R_{0}^{'}$
(directly)"
